場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
11,2026-09-09,34,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,高村 諒,６　３５６　４６４　４５
11,2026-09-09,34,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,篠崎 仁志,２　２　５１５　４　６４
11,2026-09-09,35,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,大森 翼,５Ｆ３　６　４　６　３
11,2026-09-09,35,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,今村 天次朗,６　６６６　５６６　２６
11,2026-09-09,35,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,田中 結,５　５６６　６５６　６６
11,2026-09-09,36,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,鳥居塚 嶺王,Ｆ　３　６　４　４４５
11,2026-09-09,36,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,宮田 龍馬,１５２１３２１　３１[１]
11,2026-09-09,36,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,高山 智至,４　５４６　４５３　３６
11,2026-09-09,37,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,津田 陸翔,１　１５１３５１２２[３]
11,2026-09-09,37,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,下河 誉史,２５３　４６１　６１５
11,2026-09-09,37,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,原田 幸哉,６２１　４　２６１　２４
11,2026-09-09,38,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,垂水 悠,３４６　３５６　５６６
11,2026-09-09,38,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,豊田 祥生,１３５　５１１　６６４６
11,2026-09-09,38,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,酒井 俊弘,５　６３５　６４６　５６
11,2026-09-09,39,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,松尾 充,２５３１１　２４３３２１
11,2026-09-09,39,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,井口 佳典,６　３３６　３　５４６
11,2026-09-09,39,2026-07-16,2026-07-21,一般,第７回京都新聞杯,小野寺 智洋,２３３　２５３２３３５１
11,2026-09-09,40,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,佐藤 駿介,５６３　５　５５４　６５
11,2026-09-09,40,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,北中 元樹,１３転１５３５　１１４
11,2026-09-09,40,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,佐々木 完太,１１１　６　１６５　１６
11,2026-09-09,41,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,市川 健太,２３１　３２５３１４２２
11,2026-09-09,41,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,山下 奈緒,２５４　５１６　５５５
11,2026-09-09,41,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,西岡 顕心,２　１６３　２３２　[４]
11,2026-09-09,43,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,藤森 陸斗,１　５５２５１５１５３１
11,2026-09-09,43,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,柳橋 宏紀,５　４６２４５５５　４２
11,2026-09-09,43,2026-07-16,2026-07-21,一般,第７回京都新聞杯,宇佐見 淳,２４３５２４３　３５３６
11,2026-09-09,44,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,上野 拓馬,６　２２４４５　５３４
11,2026-09-09,44,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,木村 仁紀,５５２５１２１　２３１４
11,2026-09-09,44,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,瓜生 正義,５４１　２　６６４　２
11,2026-09-09,45,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,塚越 海斗,２６４　４２６２１６２５
11,2026-09-09,45,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,石渡 翔一郎,４　３４２　２４１３１３
11,2026-09-09,45,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,木下 雄介,６　１２１６６３１４３１
11,2026-09-09,46,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,山本 幸也,６　５４１　６１６　３６
11,2026-09-09,46,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,藤原 仙二,１　４１５２３２４　２３
11,2026-09-09,46,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,松井 繁,６　６２５１４　３６２
