登録番号,重み付き和,重み付き二乗和,重み計,基準日
5096,3.7354799397,0.5718411471,27.2026983115,2026-09-12
5098,3.2006662791,0.5096810348,24.5843657346,2026-09-12
5100,4.2245847377,0.9273682834,23.4017453426,2026-09-12
5101,3.5246134584,0.9228480027,16.8719635277,2026-09-12
5102,5.0935038809,1.103934443,26.447919515,2026-09-12
5103,4.5612567834,1.112130978,23.4140703505,2026-09-12
5104,3.5537391442,0.5939838229,23.8554542718,2026-09-12
5105,4.9095311603,0.9666720199,28.3909517205,2026-09-12
5106,5.3002611578,1.0976110358,30.3913420401,2026-09-12
5107,3.4314298255,0.7617552888,16.8015860709,2026-09-12
5108,2.8569485014,0.7641323987,11.8156523054,2026-09-12
5109,3.9167688415,0.7156484177,28.7197209286,2026-09-12
5110,2.7643256519,0.5075608386,17.3209080062,2026-09-12
5111,3.6519599865,0.6004678957,26.2347363302,2026-09-12
5112,4.7060484539,0.768340984,33.2122347182,2026-09-12
5113,0.1320137529,0.0286208081,0.7124428529,2026-09-12
5114,4.0274975116,0.741085514,23.4294056,2026-09-12
5115,4.1033668535,0.6159950828,32.2712446374,2026-09-12
5117,2.2366819143,0.417866039,13.8722715146,2026-09-12
5118,0.9575347947,0.2019968848,4.8790946882,2026-09-12
5120,3.4605208946,0.6742313805,20.7409612877,2026-09-12
5121,2.7097996705,0.4167067173,21.0219274387,2026-09-12
5122,3.5045802402,0.7917354844,17.4618495007,2026-09-12
5123,3.4800690513,0.7910860617,20.1575351807,2026-09-12
5124,3.6021904801,0.5924691121,25.7279800663,2026-09-12
5125,5.1520636003,1.1328586545,26.9529645496,2026-09-12
5126,3.2772197095,0.5232091572,23.7227581342,2026-09-12
5127,5.0848414579,1.1784705578,25.4204442865,2026-09-12
5128,3.0560371343,0.6049737559,17.7560794105,2026-09-12
5129,3.9963912457,0.6618779608,28.1193918728,2026-09-12
5130,4.5161762017,0.8910138452,25.7688988612,2026-09-12
5131,3.8782337093,0.7801714148,22.1025260663,2026-09-12
5132,4.3304689139,0.6753722633,33.3585414571,2026-09-12
5133,3.5970849526,0.771104677,18.5962925065,2026-09-12
5134,4.6067147988,0.7537649448,31.5530798016,2026-09-12
5135,4.8272735124,0.961779708,28.9399222812,2026-09-12
5136,5.195280722,0.798744825,38.8526793464,2026-09-12
5137,4.6961245515,0.9847616319,30.2953177946,2026-09-12
5138,4.1232239525,0.7878464574,23.8644667484,2026-09-12
5139,3.549295759,0.7132653572,22.0143633089,2026-09-12
5140,1.4234239848,0.300269383,7.9377368612,2026-09-12
5141,4.1451096616,0.6228070558,31.7034904524,2026-09-12
5142,3.5968797678,0.5978759968,26.1935154824,2026-09-12
5143,4.856136748,0.9995742966,26.8367799996,2026-09-12
5144,3.3651492088,0.8077905688,18.9629693389,2026-09-12
5145,4.7097104487,0.7817918909,31.4847022783,2026-09-12
5146,3.8589436195,0.6860400528,24.3281366819,2026-09-12
5147,1.9078679956,0.3309294377,12.9176456843,2026-09-12
5148,3.0905720104,0.5736528372,18.6009584667,2026-09-12
5150,2.3330243614,0.4325021189,15.733457375,2026-09-12
5151,3.8618309916,0.8210991045,19.9055158689,2026-09-12
5152,4.5755366036,1.0964265302,21.5443990503,2026-09-12
5153,4.4503911082,0.8793795203,27.150928407,2026-09-12
5154,4.9848968293,0.9183316204,30.710102168,2026-09-12
5155,3.8656389792,0.6381850768,29.3838237437,2026-09-12
5156,1.2068515476,0.2428184482,6.8898477731,2026-09-12
5157,4.9331981069,0.953906746,29.4381353578,2026-09-12
5158,4.5746267088,0.7692769588,32.561369645,2026-09-12
5160,5.3806079199,0.880187304,36.5371672994,2026-09-12
5161,4.5704405891,0.8061614131,30.0175624745,2026-09-12
5162,0.0265868236,0.0054904621,0.1482000853,2026-09-12
5163,4.3510384391,0.8699190218,24.5110786115,2026-09-12
5164,3.0074738331,0.6322592151,17.0377645837,2026-09-12
5165,5.2261656823,1.2222465992,28.6725618928,2026-09-12
5166,3.8404949132,0.6542980251,26.1456191505,2026-09-12
5167,3.7950309518,0.7570435686,23.7242353873,2026-09-12
5169,2.7029240656,0.602860468,14.2460909826,2026-09-12
5170,3.71565382,0.6367845557,25.5937958981,2026-09-12
5172,3.8021844873,0.7953819483,20.7520537791,2026-09-12
5173,2.9757793644,0.5796646726,19.2047356675,2026-09-12
5174,2.8361765486,0.5916608703,15.5265150587,2026-09-12
5175,2.9424461448,0.5637653439,18.2805417564,2026-09-12
5176,1.7406769571,0.3649512071,10.079689463,2026-09-12
5177,6.5561274593,1.4455018816,32.6894307018,2026-09-12
5178,4.2894381005,0.8845613127,23.7467316436,2026-09-12
5179,4.5852765027,0.9897793071,24.52899452,2026-09-12
5180,4.067049489,0.8814115368,23.3438791407,2026-09-12
5181,4.53374087,0.9171596419,25.3207913567,2026-09-12
5182,2.6372913152,0.4862045652,17.6273145784,2026-09-12
5183,3.8501861571,0.6588850451,25.2063347449,2026-09-12
5184,0.9351738586,0.1814573061,5.3254349535,2026-09-12
5185,2.2911819253,0.3958944114,15.2521511177,2026-09-12
5186,4.4609944244,0.8538814156,27.1560032611,2026-09-12
5187,2.8884416725,0.6565256049,14.1041625285,2026-09-12
5188,3.9427039115,0.6645113005,29.3946433545,2026-09-12
5189,6.694503347,1.6051260463,34.1039503444,2026-09-12
5190,3.3364294139,0.688145397,19.1557591919,2026-09-12
5191,4.0190903399,0.5999759008,35.4855633777,2026-09-12
5192,0.9319603704,0.2436240106,4.1600105085,2026-09-12
5193,4.8540304723,0.9023199555,30.4080269008,2026-09-12
5194,3.3374129822,0.6383709341,20.3540505153,2026-09-12
5195,3.6735708831,0.6028196862,26.7335227052,2026-09-12
5196,4.3716451491,1.0291569803,20.9853013259,2026-09-12
5197,2.2901290335,0.4234018433,15.8211066327,2026-09-12
5198,3.4290302633,0.6669786553,20.6120683132,2026-09-12
5199,3.5040940101,0.5261496524,27.7739000832,2026-09-12
5200,2.7129875986,0.6655029553,12.8020514928,2026-09-12
5201,3.9724565313,0.7821222363,23.3510022878,2026-09-12
5203,2.4988889448,0.3978581856,17.2288500633,2026-09-12
5204,3.6584812554,0.6935618463,22.6803038328,2026-09-12
5205,3.3181461419,0.6685946785,20.0790865221,2026-09-12
5206,2.6794446112,0.4680223923,17.889673733,2026-09-12
5207,2.7476536557,0.5768171808,15.2248601708,2026-09-12
5208,3.7991101791,0.7845022271,20.9208437491,2026-09-12
5209,4.3640963802,0.9081100377,24.3699625135,2026-09-12
5210,3.825572979,0.6062538758,27.2709742379,2026-09-12
5211,2.8030507329,0.5046171267,18.8926974309,2026-09-12
5212,4.0881455072,0.6166909109,32.8997502831,2026-09-12
5213,5.0424215691,0.9886104552,27.7897886391,2026-09-12
5214,4.0834899284,0.8727622624,22.2917202368,2026-09-12
5216,5.2571779137,0.9035394327,34.1098836922,2026-09-12
5217,4.4319425439,1.0076942502,22.325130601,2026-09-12
5218,3.28739425,0.6507116253,18.6671888587,2026-09-12
5219,5.1026005976,0.9701658289,32.4586524858,2026-09-12
5220,3.1067655935,0.4459194834,28.0700416999,2026-09-12
5221,3.8659671236,0.6313089146,26.5529916038,2026-09-12
5222,5.6063400662,1.0677794177,33.2420505834,2026-09-12
5223,5.0175399974,0.9004798273,32.6946587413,2026-09-12
5224,4.4664240809,0.7277001184,31.9319031953,2026-09-12
5226,4.669761322,0.8801673916,29.8546291127,2026-09-12
5227,1.8490928831,0.4258305306,10.0931320048,2026-09-12
5228,5.3575033,0.9992827541,33.8384712192,2026-09-12
5229,3.9151370005,0.7346755592,23.3111741131,2026-09-12
5230,4.7794643146,1.1536246181,24.2210797437,2026-09-12
5231,2.4834311638,0.4535289285,15.7616343285,2026-09-12
5232,3.8105386455,0.6718790368,25.7587124748,2026-09-12
5234,5.0358299928,0.8521625376,35.0307409617,2026-09-12
5235,4.2560791248,1.04191706,22.40515631,2026-09-12
5236,4.2295944103,0.7727936389,26.9994526846,2026-09-12
5237,2.822536692,0.5368255853,17.0354845871,2026-09-12
5238,3.6397861069,0.6438778556,24.1883357804,2026-09-12
5239,3.1028354264,0.5787045016,19.864534621,2026-09-12
5240,3.5147575126,0.9294917277,18.1717144286,2026-09-12
5241,3.5208847539,0.7031780284,21.6565175333,2026-09-12
5242,2.6462505588,0.5852104797,15.3576394764,2026-09-12
5243,3.3028389465,0.5548548527,22.2392856758,2026-09-12
5244,3.44326519,0.6308260182,23.197573619,2026-09-12
5245,3.1270806361,0.5645104633,20.3241222726,2026-09-12
5246,3.9878716786,0.8373490409,24.4320124774,2026-09-12
5247,3.9372175128,0.7031878657,25.4785946516,2026-09-12
5248,5.0573353642,1.1141065208,27.7217379324,2026-09-12
5249,3.4338092836,0.6172332059,23.6568499233,2026-09-12
5250,3.6244151729,0.7663726519,20.6317267882,2026-09-12
5251,1.1469161976,0.221078473,7.0023835245,2026-09-12
5252,3.7180405458,0.5693339677,27.6909934314,2026-09-12
5253,5.7916644505,1.4432296733,26.652290208,2026-09-12
5254,3.285008858,0.8588708096,14.3036764802,2026-09-12
5255,4.7037827119,1.0009953164,25.1766803497,2026-09-12
5256,2.9818883773,0.4573935714,22.3899133906,2026-09-12
5257,5.7777214693,0.974758209,39.1297744672,2026-09-12
5258,2.8948309456,0.6293955814,16.4943888478,2026-09-12
5259,2.7584242505,0.5592138634,17.6884494117,2026-09-12
5261,3.6006287435,0.6575471218,23.3376129874,2026-09-12
5262,3.4617071116,0.8889332964,17.0669806942,2026-09-12
5263,4.1582258778,0.7647383334,25.2722964761,2026-09-12
5264,4.0842831581,0.8229874315,23.2339825792,2026-09-12
5265,4.9066726685,0.8945908931,30.5924701446,2026-09-12
5266,2.5512715214,0.4606107198,16.1545985559,2026-09-12
5267,4.1356593297,0.6622312583,29.7683779468,2026-09-12
5268,4.689270052,1.079964479,26.4751431602,2026-09-12
5269,3.6307627608,0.5351243993,31.4231048733,2026-09-12
5270,3.6204679368,0.8007936108,19.5152796488,2026-09-12
5271,3.9246974882,0.6941477514,26.8224162096,2026-09-12
5272,3.6754685494,0.7272049348,21.0989838118,2026-09-12
5273,4.5044626116,1.0050330687,23.0536878061,2026-09-12
5274,0.6067606047,0.1150321064,3.977116505,2026-09-12
5275,3.0472359426,0.4849988659,23.9332666032,2026-09-12
5276,3.8176741596,0.6531178513,27.0494503692,2026-09-12
5277,3.3964498965,0.6044497899,22.5920970639,2026-09-12
5278,2.5603888467,0.4958600582,15.8766456584,2026-09-12
5279,4.1140475842,0.7293720159,30.2485251643,2026-09-12
5280,5.1086362639,0.8702294786,34.9742703717,2026-09-12
5281,2.1762569157,0.4025468361,14.548847632,2026-09-12
5282,4.1929035118,0.7531124032,30.2710794289,2026-09-12
5283,2.2124362617,0.5930458962,10.0670132946,2026-09-12
5284,4.1488892139,0.7360487171,26.2859973655,2026-09-12
5285,4.114755446,0.8818997994,22.2920370458,2026-09-12
5286,4.4034472642,0.7633426284,30.6444897656,2026-09-12
5287,2.5122513068,0.5247119355,14.3141659816,2026-09-12
5288,2.9382346979,0.4786036041,24.1653335829,2026-09-12
5289,4.1611188595,0.7175284999,30.7432118436,2026-09-12
5290,2.2885506036,0.4010851423,14.7770868006,2026-09-12
5291,6.5593880798,1.6130441399,29.4374577476,2026-09-12
5292,4.508579522,0.9617225953,27.0820896937,2026-09-12
5293,3.3673843926,0.6215138849,21.3085916699,2026-09-12
5294,3.0792149941,0.5551959993,19.9836235691,2026-09-12
5295,1.1212033915,0.2799463255,5.5250195507,2026-09-12
5296,2.1705286725,0.4114315022,13.8923334299,2026-09-12
5297,3.5966835578,0.7780007859,18.8533555961,2026-09-12
5298,4.4523483225,0.6688562058,34.3262577502,2026-09-12
5299,3.9920654105,0.5508228623,36.0878541304,2026-09-12
5300,1.8955700555,0.3675017069,11.7105291048,2026-09-12
5301,4.3177889353,0.750905506,27.2894262321,2026-09-12
5302,1.9833840368,0.3771830019,12.2555081135,2026-09-12
5303,4.5067448546,0.8197899336,29.6787859123,2026-09-12
5304,1.5112024958,0.3906059458,7.4110396965,2026-09-12
5305,1.4813043277,0.3111972152,8.9430455178,2026-09-12
5306,0.7141577886,0.153518317,3.9145416391,2026-09-12
5307,4.8803658354,1.0705099378,28.3026299348,2026-09-12
5308,4.5340483092,0.8573406108,28.698540136,2026-09-12
5309,2.3660284297,0.4382897344,15.1882192563,2026-09-12
5310,4.968186248,1.3999200048,23.169738514,2026-09-12
5311,4.9089483189,0.9602496664,31.235590914,2026-09-12
5312,3.6628992047,0.8208117102,19.8489337719,2026-09-12
5313,2.4260514918,0.4739266058,14.7661524268,2026-09-12
5314,4.2678068787,0.848263844,26.0801505253,2026-09-12
5315,4.1129742431,0.8454422972,25.855929299,2026-09-12
5316,3.971671346,0.675492052,26.6080708987,2026-09-12
5317,3.9909551935,0.771869747,25.8378692411,2026-09-12
5318,2.3140752568,0.4728033092,13.1638272328,2026-09-12
5319,0.5675322124,0.1179648302,3.3378788693,2026-09-12
5320,3.8818164286,0.6916070571,25.5092242438,2026-09-12
5321,3.7032263533,0.7928774393,19.825836444,2026-09-12
5322,3.8517347246,0.7073356869,26.3691725357,2026-09-12
5323,2.5715090561,0.471005152,18.1188800032,2026-09-12
5324,4.0801873032,0.9288360483,19.972744734,2026-09-12
5325,2.7886092506,0.4438050349,20.3161835832,2026-09-12
5326,5.0329906568,0.9255314072,31.9773132336,2026-09-12
5327,2.3255691321,0.5404577228,11.6125012755,2026-09-12
5328,4.3517654799,0.7406844344,29.5354921013,2026-09-12
5329,4.3413067833,0.8620518685,25.7517371701,2026-09-12
5330,3.8915665928,0.7041319334,26.8422577433,2026-09-12
5331,2.548528817,0.4171920374,20.1002280471,2026-09-12
5332,2.8512708741,0.5406963586,17.1839873557,2026-09-12
