レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609130901,2026-09-13,09,01R,4156,0.1389,0.0998,0.178,3211,0.165,0.1226,0.2073,5327,0.1982,0.1513,0.2452,4423,0.143,0.1013,0.1846,4349,0.1821,0.1318,0.2325,4390,0.1949,0.1529,0.2369
202609130902,2026-09-13,09,02R,5204,0.1561,0.1134,0.1988,4106,0.1837,0.1412,0.2262,3567,0.1678,0.1254,0.2102,4119,0.1726,0.1261,0.2191,3901,0.2093,0.1608,0.2578,5356,0.1873,0.145,0.2297
202609130903,2026-09-13,09,03R,3973,0.1813,0.1411,0.2216,4318,0.1716,0.1277,0.2155,3580,0.1687,0.1197,0.2176,5005,0.1383,0.0922,0.1845,4757,0.1328,0.0932,0.1725,3827,0.1747,0.1323,0.2171
202609130904,2026-09-13,09,04R,3448,0.1973,0.1521,0.2425,5049,0.1794,0.1386,0.2201,4695,0.1347,0.0984,0.1711,5277,0.1559,0.1146,0.1973,5073,0.1679,0.1301,0.2057,4644,0.1505,0.118,0.1831
202609130905,2026-09-13,09,05R,4058,0.1743,0.135,0.2136,3619,0.1785,0.143,0.2141,3629,0.1623,0.1197,0.205,4458,0.1432,0.1064,0.1799,5354,0.1635,0.112,0.215,5327,0.2176,0.1707,0.2646
202609130906,2026-09-13,09,06R,5172,0.1745,0.1312,0.2179,5359,0.1764,0.1287,0.2241,4191,0.1419,0.1023,0.1815,3900,0.1808,0.1385,0.2231,3211,0.1649,0.1225,0.2072,4532,0.1585,0.1207,0.1964
202609130907,2026-09-13,09,07R,4349,0.1747,0.1244,0.2251,4703,0.1394,0.1,0.1788,3268,0.152,0.1125,0.1914,4933,0.1202,0.0864,0.1539,3349,0.1563,0.1122,0.2005,4119,0.189,0.1425,0.2355
202609130908,2026-09-13,09,08R,3430,0.1494,0.1121,0.1866,4259,0.1446,0.1099,0.1792,4581,0.143,0.1047,0.1813,3580,0.1717,0.1227,0.2206,4702,0.1334,0.0956,0.1712,4106,0.1971,0.1546,0.2396
202609130909,2026-09-13,09,09R,4695,0.1332,0.0969,0.1696,4017,0.1752,0.1409,0.2095,4136,0.1542,0.1163,0.1922,5204,0.1606,0.1179,0.2033,4977,0.153,0.109,0.1971,5005,0.1547,0.1086,0.2009
202609130910,2026-09-13,09,10R,4949,0.1436,0.1004,0.1868,4644,0.1371,0.1046,0.1697,3901,0.2034,0.1549,0.2519,4824,0.1156,0.0795,0.1517,3619,0.1784,0.1429,0.214,4191,0.1613,0.1217,0.2009
202609130911,2026-09-13,09,11R,3349,0.1489,0.1048,0.1931,4532,0.1451,0.1073,0.183,4423,0.14,0.0983,0.1816,5073,0.165,0.1272,0.2028,3973,0.1887,0.1485,0.229,3629,0.1817,0.1391,0.2244
202609130912,2026-09-13,09,12R,4757,0.1254,0.0858,0.1651,4156,0.1464,0.1073,0.1855,4259,0.1386,0.1039,0.1732,4058,0.1788,0.1395,0.2181,5359,0.1763,0.1286,0.224,5049,0.1928,0.152,0.2335
202609131001,2026-09-13,10,01R,5045,0.1939,0.1524,0.2353,3474,0.1726,0.1302,0.2151,3645,0.1518,0.1124,0.1911,4694,0.1712,0.1282,0.2142,4317,0.1731,0.1301,0.2161,4589,0.1651,0.1238,0.2064
202609131002,2026-09-13,10,02R,4233,0.1537,0.112,0.1954,5029,0.1323,0.0945,0.1702,3156,0.1717,0.1294,0.2139,5323,0.1491,0.1027,0.1954,3482,0.1454,0.1083,0.1825,4003,0.1717,0.1357,0.2076
202609131003,2026-09-13,10,03R,4953,0.1426,0.1074,0.1779,3967,0.2257,0.1576,0.2938,4155,0.1422,0.1061,0.1782,5294,0.153,0.112,0.194,4203,0.1533,0.116,0.1906,3620,0.1872,0.1533,0.2212
202609131004,2026-09-13,10,04R,5141,0.1342,0.0996,0.1687,4081,0.1635,0.1243,0.2028,3613,0.1335,0.0978,0.1692,3699,0.1852,0.1417,0.2286,3746,0.1645,0.1298,0.1993,3442,0.1614,0.1258,0.1971
202609131005,2026-09-13,10,05R,4931,0.1252,0.0902,0.1602,3645,0.1578,0.1184,0.1971,3940,0.1318,0.0992,0.1644,3788,0.1252,0.0821,0.1682,4890,0.1493,0.1091,0.1895,4930,0.1475,0.1086,0.1864
202609131006,2026-09-13,10,06R,5323,0.1446,0.0982,0.1909,3659,0.1697,0.1273,0.2121,3563,0.139,0.1005,0.1776,4564,0.1628,0.1283,0.1972,4842,0.1715,0.1327,0.2103,5034,0.1343,0.0956,0.1731
